id,interaction_log_id,user_id,conversation_id,user_message_id,parent_interaction_log_id,question_text,detected_intent,raw_intent,reply_locale,context_major_id,context_program_key,context_category,extracted_entities,created_at
11,11,1,10,49,,كم المعدل,engineering_acceptance_query,engineering_acceptance_query,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:01:39.356Z"""
12,12,1,11,51,,hi,greet,greet,en,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:02:39.521Z"""
13,13,1,12,53,,هاي,major_advisor_snapshot,unknown,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:21.401Z"""
14,14,1,12,55,13,هاي,major_advisor_snapshot,unknown,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:31.903Z"""
15,15,1,13,57,,شو رأيك بالتخصص,major_advisor_snapshot,unknown,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:46.156Z"""
16,16,1,13,59,15,شو مستوى التنافس؟,major_advisor_snapshot,major_advisor_snapshot,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:48.806Z"""
17,17,1,13,61,16,فيه رياضيات كثير؟,major_advisor_snapshot,major_advisor_snapshot,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[""رياضيات""],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:53.279Z"""
18,18,1,13,63,17,هل هالتخصص صعب؟,major_advisor_snapshot,major_advisor_snapshot,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:54.844Z"""
19,19,1,13,65,18,شو معدل القبول؟,engineering_acceptance_query,engineering_acceptance_query,ar,eng-cs,computer_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:56.718Z"""
20,20,1,14,67,,hi,greet,greet,en,eng-ce,civil_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""civil_engineering"",""pageMajorId"":""eng-ce"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T15:35:28.524Z"""
21,21,1,14,69,20,Is this programme difficult?,major_advisor_snapshot,major_advisor_snapshot,en,eng-ce,civil_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""civil_engineering"",""pageMajorId"":""eng-ce"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":true,""comparisonPair"":null}","""2026-04-17T15:35:30.999Z"""
22,22,1,14,71,21,في فرص عمل ؟,major_advisor_snapshot,major_advisor_snapshot,ar,eng-ce,civil_engineering,engineering,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""civil_engineering"",""pageMajorId"":""eng-ce"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T15:35:45.371Z"""
